word,global_frequency,document_frequency,idf_score
hand,300,136,0.992707
simply,299,150,0.894727
heard,298,125,1.077048
seen,296,155,0.861937
pāli,296,76,1.574629
went,295,127,1.061175
meditative,295,186,0.679615
fully,293,137,0.985381
longer,293,160,0.830188
meet,293,138,0.978108
arising,292,130,1.037827
jhāna,290,44,2.121172
wasn,290,143,0.942517
move,289,167,0.787368
contentment,289,58,1.844919
working,287,123,1.093177
clark,285,48,2.034161
ask,285,121,1.109571
started,283,143,0.942517
emotions,281,126,1.069080
opening,280,136,0.992707
soften,280,136,0.992707
begins,280,141,0.956602
believe,279,137,0.985381
interesting,278,131,1.030165
introduction,276,204,0.587242
turn,276,146,0.921755
views,275,57,1.862311
found,274,139,0.970888
source,274,83,1.486521
useful,274,148,0.908150
fronsdal,271,149,0.901416
tell,270,130,1.037827
using,270,143,0.942517
full,270,156,0.855506
relaxed,268,125,1.077048
seems,267,151,0.888082
needs,267,144,0.935549
ago,265,136,0.992707
helps,265,147,0.914929
step,263,123,1.093177
minutes,262,139,0.970888
bad,262,115,1.160430
craving,262,73,1.614902
meditate,261,143,0.942517
clarity,260,112,1.186863
term,258,134,1.007522
level,258,122,1.101341
walk,258,114,1.169163
healthy,258,118,1.134677
greed,258,94,1.362067
mindful,257,109,1.214014
simplicity,256,74,1.601297
continue,256,153,0.874924
already,255,127,1.061175
belly,255,126,1.069080
series,255,136,0.992707
pressure,255,109,1.214014
samādhi,254,40,2.216482
order,252,145,0.928628
wanted,248,123,1.093177
language,248,121,1.109571
completely,248,131,1.030165
show,248,126,1.069080
sure,247,133,1.015013
create,246,140,0.963719
home,246,136,0.992707
control,246,92,1.383573
lost,245,118,1.134677
sound,245,97,1.330651
share,244,120,1.117870
unpleasant,244,65,1.730975
gentle,244,109,1.214014
involved,244,121,1.109571
object,243,104,1.260971
sort,242,103,1.270633
sangha,242,61,1.794488
middle,242,144,0.935549
takes,242,137,0.985381
places,241,140,0.963719
earth,241,71,1.642682
context,241,142,0.949535
moments,240,132,1.022560
questions,239,116,1.151772
hope,238,142,0.949535
yet,237,108,1.223231
situation,237,106,1.241923
bringing,236,131,1.030165
side,235,100,1.300192
system,235,93,1.372762
though,234,149,0.901416
talked,234,121,1.109571
past,234,119,1.126238
delusion,234,83,1.486521
fact,233,140,0.963719
family,233,99,1.310242
generosity,233,79,1.535914
matter,232,141,0.956602
topic,231,136,0.992707
usually,231,138,0.978108
touch,231,129,1.045549
field,231,100,1.300192
exactly,230,137,0.985381
ability,230,116,1.151772
sounds,230,116,1.151772
real,229,138,0.978108
either,229,136,0.992707
questioner,228,39,2.241800
purpose,228,94,1.362067
emotional,228,115,1.160430
mine,228,79,1.535914
needed,227,123,1.093177
grow,226,114,1.169163
forward,225,139,0.970888
later,224,133,1.015013
profound,224,106,1.241923
far,223,103,1.270633
physical,223,115,1.160430
softening,223,121,1.109571
days,222,138,0.978108
future,221,112,1.186863
walking,221,101,1.290241
realize,221,123,1.093177
moving,220,129,1.045549
head,220,116,1.151772
gives,218,122,1.101341
direct,218,111,1.195832
shift,217,110,1.204881
name,217,112,1.186863
wants,217,103,1.270633
especially,216,139,0.970888
difference,216,126,1.069080
face,216,128,1.053332
soft,216,110,1.204881
greater,216,88,1.428025
talks,216,106,1.241923
friends,215,98,1.320394
leading,215,96,1.341014
spaciousness,214,57,1.862311
contact,214,83,1.486521
meditating,213,117,1.143188
available,213,121,1.109571
ethical,213,63,1.762227
problem,212,97,1.330651
hatred,212,82,1.498643
act,211,94,1.362067
parts,211,112,1.186863
learning,210,119,1.126238
wow,210,109,1.214014
caring,210,90,1.405552
comfortable,210,118,1.134677
left,209,128,1.053332
book,208,89,1.416725
degree,208,107,1.232533
lead,208,89,1.416725
presence,208,106,1.241923
desires,207,78,1.548653
recognition,206,77,1.561556
cultivate,206,95,1.351485
minds,206,105,1.251401
born,205,95,1.351485
appreciation,205,72,1.628696
original,205,101,1.290241
friendliness,205,58,1.844919
terms,204,98,1.320394
suttas,204,65,1.730975
zen,203,62,1.778227
certainly,202,124,1.085080
least,202,121,1.109571
intention,202,93,1.372762
action,201,80,1.523335
delight,201,86,1.451015
stillness,201,86,1.451015
number,201,110,1.204881
based,201,108,1.223231
upon,200,114,1.169163
cultivating,199,84,1.474545
ancient,198,101,1.290241
teachers,198,105,1.251401
develop,197,102,1.280389
outside,197,115,1.160430
everybody,196,84,1.474545
happened,196,102,1.280389
set,196,105,1.251401
trust,196,87,1.439454
power,196,85,1.462711
connection,195,111,1.195832
figure,195,101,1.290241
absorption,195,131,1.030165
easier,195,118,1.134677
asked,195,103,1.270633
cause,194,104,1.260971
uncomfortable,194,72,1.628696
leave,193,117,1.143188
death,193,71,1.642682
faith,193,52,1.954118
impermanence,192,72,1.628696
attitude,192,79,1.535914
unwholesome,192,67,1.700669
respect,191,88,1.428025
breaths,191,122,1.101341
discover,191,83,1.486521
brings,190,108,1.223231
monk,190,96,1.341014
enter,190,89,1.416725
staying,190,101,1.290241
group,190,91,1.394502
ones,189,105,1.251401
training,189,68,1.685854
teach,188,94,1.362067
benefit,188,108,1.223231
ever,188,114,1.169163
starts,188,109,1.214014
silence,188,79,1.535914
oneself,187,108,1.223231
consciousness,187,74,1.601297
speech,187,62,1.778227
approach,186,80,1.523335
direction,186,98,1.320394
chaplaincy,186,19,2.960923
answer,185,89,1.416725
hearts,185,98,1.320394
gathering,185,75,1.587874
behind,184,118,1.134677
mettā,184,29,2.538066
turns,183,79,1.535914
orientation,183,83,1.486521
food,183,86,1.451015
beyond,183,83,1.486521
alive,182,110,1.204881
saw,182,98,1.320394
connect,182,97,1.330651
practices,181,99,1.310242
listening,181,84,1.474545
speak,181,85,1.462711
return,181,135,1.000087
associated,180,117,1.143188
experienced,180,103,1.270633
extra,179,69,1.671255
meeting,179,85,1.462711
