word,global_frequency_percent,document_frequency_percent,global_freq_score,document_freq_score,avg_tfidf_score,combined_score
crossing,0.000,0.035,1.000,0.071,0.175,0.111
friends,0.000,0.264,1.000,0.529,0.023,0.111
series,0.000,0.362,1.000,0.725,0.017,0.111
ability,0.000,0.302,1.000,0.605,0.020,0.111
beauty,0.000,0.185,1.000,0.371,0.033,0.111
action,0.000,0.196,1.000,0.392,0.031,0.111
cultivate,0.000,0.248,1.000,0.496,0.025,0.111
senses,0.000,0.142,1.000,0.283,0.043,0.111
loving-kindness,0.000,0.177,1.000,0.354,0.035,0.111
middle,0.000,0.343,1.000,0.687,0.018,0.111
available,0.000,0.330,1.000,0.659,0.019,0.110
entering,0.000,0.169,1.000,0.338,0.036,0.110
hearts,0.000,0.267,1.000,0.534,0.023,0.110
lost,0.000,0.322,1.000,0.643,0.019,0.110
remember,0.001,0.422,0.999,0.845,0.014,0.110
touch,0.000,0.351,1.000,0.703,0.017,0.110
giving,0.001,0.381,0.999,0.763,0.016,0.110
desires,0.000,0.202,1.000,0.403,0.030,0.110
everyone,0.001,0.518,0.999,0.965,0.013,0.110
walking,0.000,0.275,1.000,0.550,0.022,0.110
i'd,0.001,0.504,0.999,0.992,0.012,0.110
listening,0.000,0.229,1.000,0.458,0.026,0.110
sounds,0.000,0.316,1.000,0.632,0.019,0.110
greater,0.000,0.240,1.000,0.480,0.025,0.110
past,0.000,0.313,1.000,0.627,0.019,0.110
meaning,0.000,0.264,1.000,0.529,0.023,0.110
surrender,0.000,0.057,1.000,0.114,0.105,0.110
tradition,0.001,0.313,0.999,0.627,0.019,0.110
mudita,0.000,0.044,1.000,0.087,0.137,0.109
physical,0.000,0.292,1.000,0.583,0.020,0.109
shift,0.000,0.300,1.000,0.599,0.020,0.109
needed,0.000,0.335,1.000,0.670,0.018,0.109
sensation,0.000,0.196,1.000,0.392,0.030,0.109
ordinary,0.000,0.256,1.000,0.512,0.023,0.109
form,0.001,0.411,0.999,0.823,0.014,0.109
far,0.000,0.275,1.000,0.550,0.022,0.109
patient,0.000,0.068,1.000,0.136,0.087,0.109
shoulders,0.000,0.275,1.000,0.550,0.022,0.109
lists,0.000,0.093,1.000,0.185,0.064,0.109
warmth,0.000,0.221,1.000,0.441,0.027,0.109
play,0.000,0.232,1.000,0.463,0.025,0.109
already,0.000,0.346,1.000,0.692,0.017,0.108
act,0.000,0.248,1.000,0.496,0.024,0.108
suttas,0.000,0.163,1.000,0.327,0.036,0.108
taste,0.000,0.101,1.000,0.202,0.058,0.108
emptiness,0.000,0.082,1.000,0.163,0.072,0.108
dhamma,0.000,0.060,1.000,0.120,0.098,0.108
actions,0.000,0.172,1.000,0.343,0.034,0.108
born,0.000,0.215,1.000,0.431,0.027,0.108
situation,0.000,0.275,1.000,0.550,0.021,0.108
face,0.000,0.335,1.000,0.670,0.017,0.108
fire,0.000,0.117,1.000,0.234,0.050,0.108
cannot,0.000,0.215,1.000,0.431,0.027,0.108
content,0.000,0.163,1.000,0.327,0.036,0.108
read,0.001,0.381,0.999,0.763,0.015,0.108
interest,0.000,0.142,1.000,0.283,0.041,0.108
useful,0.001,0.403,0.999,0.807,0.014,0.108
balance,0.000,0.174,1.000,0.349,0.033,0.108
believe,0.001,0.371,0.999,0.741,0.016,0.108
level,0.000,0.302,1.000,0.605,0.019,0.108
making,0.001,0.512,0.999,0.975,0.012,0.108
came,0.001,0.401,0.999,0.801,0.014,0.108
went,0.001,0.346,0.999,0.692,0.017,0.108
particular,0.001,0.510,0.999,0.981,0.012,0.108
you've,0.001,0.414,0.999,0.828,0.014,0.108
imagine,0.001,0.466,0.999,0.932,0.012,0.108
hold,0.001,0.531,0.999,0.937,0.012,0.108
vast,0.000,0.163,1.000,0.327,0.035,0.107
longer,0.001,0.433,0.999,0.866,0.013,0.107
minds,0.000,0.283,1.000,0.567,0.020,0.107
absence,0.000,0.109,1.000,0.218,0.053,0.107
meeting,0.000,0.229,1.000,0.458,0.025,0.107
using,0.001,0.390,0.999,0.779,0.015,0.107
talks,0.000,0.286,1.000,0.572,0.020,0.107
drop,0.000,0.237,1.000,0.474,0.024,0.107
yet,0.000,0.292,1.000,0.583,0.020,0.107
reactivity,0.000,0.142,1.000,0.283,0.041,0.107
insights,0.000,0.139,1.000,0.278,0.041,0.107
heard,0.001,0.338,0.999,0.676,0.017,0.107
meditate,0.001,0.390,0.999,0.779,0.015,0.107
thoughts,0.002,0.659,0.998,0.681,0.017,0.107
comfortable,0.000,0.322,1.000,0.643,0.018,0.107
cultivation,0.000,0.134,1.000,0.267,0.043,0.107
suffer,0.000,0.161,1.000,0.322,0.035,0.107
sustaining,0.000,0.052,1.000,0.104,0.110,0.107
vipassana,0.000,0.079,1.000,0.158,0.072,0.107
fourth,0.000,0.202,1.000,0.403,0.028,0.107
appreciating,0.000,0.174,1.000,0.349,0.033,0.107
buddha,0.003,0.681,0.997,0.638,0.018,0.107
listen,0.000,0.223,1.000,0.447,0.025,0.106
supports,0.000,0.264,1.000,0.529,0.021,0.106
love,0.003,0.708,0.997,0.583,0.019,0.106
breaths,0.000,0.327,1.000,0.654,0.017,0.106
head,0.000,0.313,1.000,0.627,0.018,0.106
call,0.001,0.474,0.999,0.948,0.012,0.106
needs,0.001,0.390,0.999,0.779,0.014,0.106
minutes,0.001,0.379,0.999,0.757,0.015,0.106
oneself,0.000,0.272,1.000,0.545,0.021,0.106
friendship,0.000,0.093,1.000,0.185,0.061,0.106
yesterday,0.000,0.243,1.000,0.485,0.023,0.106
silent,0.000,0.125,1.000,0.251,0.045,0.106
spread,0.000,0.172,1.000,0.343,0.033,0.106
speak,0.000,0.232,1.000,0.463,0.024,0.106
condition,0.000,0.207,1.000,0.414,0.027,0.106
helps,0.001,0.401,0.999,0.801,0.014,0.106
made,0.001,0.441,0.999,0.883,0.013,0.106
uncomfortable,0.000,0.196,1.000,0.392,0.028,0.106
rest,0.001,0.523,0.999,0.954,0.012,0.106
knowledge,0.000,0.101,1.000,0.202,0.055,0.106
loss,0.000,0.125,1.000,0.251,0.044,0.106
started,0.001,0.390,0.999,0.779,0.014,0.106
doubt,0.000,0.155,1.000,0.311,0.036,0.106
clear,0.001,0.559,0.999,0.883,0.013,0.105
wasn't,0.001,0.390,0.999,0.779,0.014,0.105
continue,0.000,0.417,1.000,0.834,0.013,0.105
art,0.000,0.161,1.000,0.322,0.035,0.105
kinds,0.001,0.471,0.999,0.943,0.012,0.105
toward,0.000,0.158,1.000,0.316,0.035,0.105
edges,0.000,0.139,1.000,0.278,0.040,0.105
line,0.000,0.223,1.000,0.447,0.025,0.105
maria,0.000,0.054,1.000,0.109,0.102,0.105
parts,0.000,0.305,1.000,0.610,0.018,0.105
gil,0.001,0.512,0.999,0.975,0.011,0.105
show,0.000,0.343,1.000,0.687,0.016,0.105
ago,0.001,0.371,0.999,0.741,0.015,0.105
upon,0.000,0.302,1.000,0.605,0.018,0.105
top,0.000,0.240,1.000,0.480,0.023,0.105
begin,0.001,0.583,0.999,0.834,0.013,0.105
training,0.000,0.185,1.000,0.371,0.030,0.105
wind,0.000,0.128,1.000,0.256,0.043,0.105
answer,0.000,0.240,1.000,0.480,0.023,0.105
home,0.000,0.371,1.000,0.741,0.015,0.105
connect,0.000,0.264,1.000,0.529,0.021,0.105
tell,0.001,0.354,0.999,0.708,0.015,0.105
reference,0.000,0.177,1.000,0.354,0.031,0.105
reflection,0.000,0.153,1.000,0.305,0.036,0.105
current,0.000,0.139,1.000,0.278,0.039,0.105
turn,0.001,0.392,0.999,0.785,0.014,0.105
receive,0.000,0.215,1.000,0.431,0.025,0.105
alive,0.000,0.300,1.000,0.599,0.018,0.105
working,0.001,0.332,0.999,0.665,0.016,0.104
effect,0.000,0.155,1.000,0.311,0.035,0.104
support,0.001,0.569,0.999,0.861,0.013,0.104
instructions,0.000,0.193,1.000,0.387,0.028,0.104
seen,0.001,0.420,0.999,0.839,0.013,0.104
moving,0.000,0.351,1.000,0.703,0.015,0.104
feet,0.000,0.251,1.000,0.501,0.022,0.104
food,0.000,0.234,1.000,0.469,0.023,0.104
bringing,0.000,0.349,1.000,0.698,0.016,0.104
side,0.000,0.272,1.000,0.545,0.020,0.104
learning,0.000,0.324,1.000,0.649,0.017,0.104
develop,0.000,0.267,1.000,0.534,0.020,0.104
choose,0.000,0.218,1.000,0.436,0.025,0.104
okay,0.002,0.651,0.998,0.698,0.016,0.104
invite,0.000,0.196,1.000,0.392,0.028,0.104
direction,0.000,0.267,1.000,0.534,0.020,0.104
takes,0.000,0.371,1.000,0.741,0.015,0.104
speaking,0.000,0.185,1.000,0.371,0.029,0.104
talking,0.001,0.518,0.999,0.965,0.011,0.104
looking,0.001,0.542,0.999,0.916,0.012,0.104
one's,0.000,0.256,1.000,0.512,0.021,0.104
waves,0.000,0.106,1.000,0.213,0.051,0.104
meditating,0.000,0.319,1.000,0.638,0.017,0.104
safety,0.000,0.172,1.000,0.343,0.031,0.104
hands,0.000,0.278,1.000,0.556,0.019,0.104
buddhist,0.001,0.578,0.999,0.845,0.013,0.104
daily,0.000,0.226,1.000,0.452,0.024,0.104
problem,0.000,0.259,1.000,0.518,0.021,0.104
invitation,0.000,0.188,1.000,0.376,0.029,0.104
embodied,0.000,0.174,1.000,0.349,0.031,0.104
wide,0.000,0.210,1.000,0.420,0.026,0.103
absorbed,0.000,0.142,1.000,0.283,0.038,0.103
empathy,0.000,0.046,1.000,0.093,0.116,0.103
beings,0.002,0.659,0.998,0.681,0.016,0.103
